id,bike volume,bike trip time,bike trip length,bike trip speed,car average speed,heavy vehicle,bike facilities,bike collision,post speed,Lane two direction,median,lane per direction,volume vehicle in thousand,volume,lts mixed traffic,mean_build,mean_car,mean_earth,mean_fence,mean_grass,mean_plant,mean_road,mean_sidew,mean_signb,mean_sky,mean_stree,mean_tree
570112,199,2860,6.3,9,20,0,2,10,30,2,0,1,8.22752034,8228,lts3,0.056973,0.012252,0.073224,0.011685,0.013131,0.03166,0.249546,0.017634,0.001007,0.397489,0.000158,0.058645
570180,231,2252,4.3,8,25,1,2,58,45,6,1,3,31.80350440,31804,lts4,0.063967,0.028045,0.057288,0.018166,0.006446,0.005097,0.320913,0.013211,0.001124,0.406363,0.00043,0.054038
570219,846,1692,2.8,7,35,1,3,183,30,2,0,1,11.34649290,11346,lts3,0.130088,0.036251,0.032945,0.014945,0.009559,0.032345,0.216598,0.070457,0.002156,0.294527,0.000297,0.119481
570220,511,2049,4.1,8,20,1,3,170,40,4,0,2,27.13689510,27137,lts4,0.117707,0.024811,0.029779,0.024006,0.010984,0.021095,0.2507,0.05486,0.001492,0.312282,0.000181,0.101072
570260,228,1884,3.6,8,35,1,3,10,35,2,0,1,10.28152483,10282,lts3,0.037299,0.032928,0.045762,0.006301,0.025872,0.023408,0.292054,0.016928,0.000376,0.35758,0.00018,0.129338
570261,322,2243,4.4,8,25,1,2,23,35,4,0,2,21.23393000,21234,lts4,0.046825,0.033485,0.030088,0.006092,0.012442,0.012438,0.331008,0.027395,0.001293,0.376478,0.000427,0.070324
570269,281,1625,2.7,7,35,1,3,7,25,2,0,1,7.10624335,7106,lts2,0.018151,0.024181,0.02234,0.012379,0.037913,0.007795,0.339569,0.012087,0.001087,0.385725,0.000035,0.094026
570270,3,1687,3.1,8,60,0,3,8,65,6,0,3,32.471189 +31.363736,32471,lts4,0.007644,0.021289,0.02551,0.009692,0.037631,0.009657,0.352681,0.012398,0.001643,0.393109,0.000053,0.097182
570272,209,1983,3.6,7,60,1,3,10,30,2,0,1,5.89107011,5891,lts3,0.027248,0.026416,0.033097,0.016657,0.020568,0.022459,0.312833,0.018702,0.000685,0.390822,0.000215,0.104094
570298,333,2824,6.2,9,35,0,3,27,35,4,0,2,14.13482001,14135,lts4,0.041651,0.030923,0.066427,0.029522,0.004229,0.011061,0.286869,0.024201,0.000713,0.393569,0.000194,0.084097
570341,303,2417,4.9,8,60,1,3,26,35,2,1,1,34.09189540,34092,lts3,0.090663,0.029106,0.050403,0.031837,0.00756,0.027965,0.239658,0.03139,0.001318,0.340698,0.000183,0.09214
570354,215,2355,4.7,8,35,1,3,32,35,4,0,2,18.91560500,18916,lts4,0.034379,0.024092,0.082647,0.024299,0.011817,0.015053,0.263023,0.017209,0.001027,0.420658,0.000566,0.066282
570367,219,2628,6.3,9,35,0,3,11,40,4,0,2,42.69740370,42697,lts4,0.045161,0.014619,0.041914,0.004564,0.019159,0.029968,0.290474,0.037963,0.000822,0.3489,0.000396,0.121797
570374,617,2183,4.6,9,35,1,3,30,40,4,0,2,38.85257160,38853,lts4,0.097782,0.017244,0.020094,0.003088,0.017981,0.030272,0.332184,0.017821,0.001155,0.30516,0.000385,0.125484
570376,108,2641,5.4,8,60,1,3,19,35,2,0,1,15.65499509,15655,lts3,0.069603,0.034591,0.01847,0.009881,0.013683,0.041153,0.232909,0.053957,0.000644,0.321242,0.000357,0.105991
570401,89,2826,6.6,9,35,1,3,8,25,2,0,1,14.89808080,14898,lts3,0.018628,0.004438,0.061458,0.006112,0.037172,0.050582,0.273543,0.004653,0.000891,0.37029,0.000416,0.123438
570429,701,3101,7,9,35,0,3,15,35,6,1,3,27.88850770,27889,lts4,0.032553,0.01906,0.065804,0.011093,0.041731,0.043689,0.261338,0.024573,0.000319,0.389631,0.000168,0.078341
570441,246,1896,3.4,7,35,0,3,74,30,4,0,2,12.28935500,12289,lts4,0.080698,0.044071,0.021628,0.048855,0.007198,0.011192,0.269794,0.037123,0.000945,0.386471,0.000408,0.054282
570548,108,1957,3.3,7,35,0,3,31,30,2,0,1,15.34321367,15343,lts3,0.074693,0.028673,0.025786,0.014411,0.011093,0.029093,0.280562,0.036076,0.000888,0.349603,0.000493,0.073019
570561,28,1708,3.2,8,35,0,3,25,45,4,0,2,11.66344002,11663,lts4,0.095244,0.034685,0.041868,0.021739,0.011,0.011383,0.277488,0.031712,0.001431,0.375385,0.000213,0.061033
570570,7,2229,4.6,7,60,1,3,1,25,2,0,1,2.84427026,2844,lts3,0.000378,0.002278,0.105668,0.01106,0.003015,0.012885,0.350133,0.000239,0.002564,0.473145,0.000141,0.021731
570575,368,1895,3.8,8,15,0,2,8,50,4,1,2,10.82617240,10826,lts4,0.018968,0.01153,0.091644,0.019059,0.006135,0.033523,0.256273,0.027538,0.000561,0.34234,0.000209,0.160861
570598,132,1114,1.8,8,35,0,3,4,40,2,1,1,10.78778646,10788,lts4,0.017763,0.009602,0.061346,0.002444,0.002532,0.017215,0.340986,0.01231,0.00107,0.376323,0.00016,0.121312
570599,103,1466,2.3,7,35,1,3,5,35,2,0,1,1.39827516,1398,lts3,0.024519,0.009383,0.085226,0.008587,0.004846,0.020162,0.285504,0.01605,0.000865,0.360684,0.000173,0.147609
570606,63,3695,8.7,9,35,0,2,34,45,2,0,1,9.92324906,9923,lts4,0.066518,0.02362,0.05406,0.01304,0.012611,0.016972,0.301745,0.020919,0.001172,0.403518,0.000326,0.049878
570607,125,2849,6.1,8,35,1,3,24,40,2,0,1,29.27019570,29270,lts4,0.072164,0.024557,0.055416,0.014896,0.013474,0.01727,0.294298,0.017037,0.000826,0.406104,0.000245,0.047294
570614,556,2048,3.8,7,25,1,3,105,30,4,0,2,18.47888140,18479,lts4,0.173374,0.038553,0.013096,0.054487,0.003693,0.007561,0.199725,0.07208,0.000502,0.321561,0.00021,0.060628
570615,383,1521,2.6,7,60,1,2,121,30,2,0,1,7.38578230,7386,lts3,0.173199,0.050665,0.013206,0.041078,0.003598,0.014674,0.213302,0.061986,0.00027,0.332086,0.000255,0.054636
570619,667,1967,3.8,8,30,0,3,58,30,4,1,2,17.47153386,17472,lts4,0.177378,0.048579,0.006987,0.016287,0.002965,0.01855,0.254061,0.062958,0.00056,0.334652,0.00017,0.041982
570624,265,2572,5.7,9,35,1,3,12,40,4,0,2,11.67404389,11674,lts4,0.042724,0.024736,0.050489,0.008094,0.008268,0.011842,0.33186,0.010731,0.00142,0.34281,0.000184,0.115268
570626,4,1826,3.6,8,35,1,2,13,50,6,0,3,68.34910540,68349,lts4,0.0418,0.030136,0.05594,0.007283,0.012133,0.01685,0.32659,0.013322,0.001287,0.335888,0.000154,0.115599
570648,448,1925,3.5,7,60,1,3,46,35,4,0,2,8.19383866,8194,lts4,0.038011,0.042102,0.020794,0.020202,0.010015,0.009539,0.338978,0.027809,0.000483,0.395289,0.000121,0.088064
570673,385,1482,2.8,8,35,1,2,30,30,4,0,2,25.19622000,25196,lts4,0.085432,0.033843,0.017447,0.003336,0.017614,0.022482,0.28915,0.056002,0.000937,0.335392,0.000303,0.107166
570675,484,2334,5,9,60,1,3,13,40,4,1,2,28.73483620,28735,lts4,0.063568,0.043081,0.027023,0.009675,0.018119,0.023166,0.302444,0.035251,0.00161,0.326506,0.000255,0.130898
570678,271,2080,4.4,8,60,1,2,26,40,4,1,2,38.10832580,38108,lts4,0.111834,0.029973,0.023478,0.004326,0.011016,0.030612,0.241008,0.076535,0.001501,0.320071,0.00025,0.110176
570681,375,2242,4.7,8,35,1,2,15,40,4,0,2,25.88270190,25883,lts4,0.061481,0.044096,0.020808,0.010105,0.013426,0.023482,0.309942,0.035018,0.001501,0.348755,0.000263,0.113617
570683,330,2088,4.4,8,35,1,3,24,45,6,1,3,65.32360700,65324,lts4,0.074858,0.044953,0.013744,0.007794,0.009126,0.012328,0.342534,0.029249,0.000105,0.38993,0.00023,0.061219
570684,322,2286,4.9,8,35,1,2,21,35,6,1,3,41.91349670,41913,lts4,0.074108,0.038381,0.039955,0.005219,0.004008,0.02218,0.314319,0.022844,0.000627,0.379652,0.000263,0.063749
570709,167,2407,4.7,8,35,1,3,20,35,4,0,2,12.52029628,12520,lts4,0.024671,0.006431,0.088054,0.015019,0.002878,0.00245,0.348697,0.011333,0.001649,0.437409,0.000392,0.055725
570711,190,2334,4.8,8,60,0,3,57,35,4,0,2,9.22556591,9226,lts4,0.039772,0.02447,0.04817,0.015287,0.009498,0.021568,0.315409,0.023545,0.000718,0.401847,0.000496,0.078204
570758,268,3049,8.1,10,60,0,3,8,35,2,0,1,17.65675820,17657,lts3,0.044414,0.014322,0.043518,0.001699,0.008998,0.07475,0.317067,0.010209,0.000776,0.259508,0.000229,0.195397
570762,76,2639,5.7,8,20,1,2,3,40,2,0,1,16.13958010,16140,lts4,0.049117,0.033113,0.026682,0.001164,0.019201,0.032218,0.313298,0.029413,0.000735,0.337553,0.000399,0.134072
570764,462,2168,4.3,8,35,0,3,21,35,4,0,2,23.56886460,23569,lts4,0.049265,0.019648,0.051054,0.008978,0.006901,0.016941,0.311604,0.021503,0.001913,0.410175,0.000292,0.047303
570772,273,2204,4.4,8,35,1,2,29,40,2,0,1,12.57246000,12572,lts4,0.15221,0.034393,0.029469,0.022216,0.004113,0.019557,0.272285,0.034388,0.001219,0.34428,0.000217,0.048829
570848,438,1247,2,7,20,0,3,57,35,2,0,1,4.99075627,4991,lts3,0.07577,0.04368,0.009975,0.043311,0.007814,0.01225,0.270947,0.049561,0.000786,0.397758,0.000549,0.051752
570872,0,390,1.3,12,20,0,3,3,35,6,1,3,21.18675510,21187,lts4,0.005184,0.009127,0.047571,0.00569,0.00312,0.004012,0.361202,0.036171,0.000963,0.429237,0.000391,0.033828
570922,8,1101,1.8,7,20,0,3,11,35,4,1,2,14.78089971,14781,lts4,0.057616,0.023675,0.063842,0.005579,0.0071,0.016741,0.228427,0.07719,0.000599,0.413618,0.000253,0.049053
570927,4,4422,11.6,9,20,0,3,5,45,4,1,2,42.68318120,42683,lts4,0.006232,0.001496,0.104123,0.000124,0.008088,0.005698,0.35195,0,0.001776,0.413595,0,0.028795
571000,6,4248,12.2,10,35,0,3,1,40,2,0,1,8.71424410,8714,lts4,0.039148,0.019471,0.043237,0.004534,0.017886,0.018542,0.31064,0.040043,0.000703,0.355389,0.00008,0.114703
571001,227,2559,5.4,9,35,0,3,4,45,4,1,2,18.06042450,18060,lts4,0.033475,0.020957,0.036337,0.007594,0.005162,0.01255,0.34128,0.042442,0.000996,0.389445,0.000182,0.084306
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
