,Unnamed: 0,year,male,female,total
0,0,1880,"118,400","97,605","216,005"
1,1,1881,"108,284","98,856","207,140"
2,2,1882,"122,033","115,698","237,731"
3,3,1883,"112,480","120,064","232,544"
4,4,1884,"122,741","137,588","260,329"
5,5,1885,"115,947","141,950","257,897"
6,6,1886,"119,041","153,738","272,779"
7,7,1887,"109,314","155,423","264,737"
8,8,1888,"129,908","189,450","319,358"
9,9,1889,"119,036","189,219","308,255"
10,10,1890,"119,701","201,662","321,363"
11,11,1891,"109,270","196,567","305,837"
12,12,1892,"131,454","224,920","356,374"
13,13,1893,"121,040","225,233","346,273"
14,14,1894,"124,896","235,972","360,868"
15,15,1895,"126,646","247,109","373,755"
16,16,1896,"129,074","251,995","381,069"
17,17,1897,"121,943","248,277","370,220"
18,18,1898,"132,107","274,146","406,253"
19,19,1899,"115,196","247,490","362,686"
20,20,1900,"162,149","317,787","479,936"
21,21,1901,"115,597","254,234","369,831"
22,22,1902,"132,749","280,336","413,085"
23,23,1903,"129,327","278,199","407,526"
24,24,1904,"138,508","292,438","430,946"
25,25,1905,"143,245","309,873","453,118"
26,26,1906,"144,072","313,440","457,512"
27,27,1907,"158,591","337,435","496,026"
28,28,1908,"166,374","354,531","520,905"
29,29,1909,"176,867","368,094","544,961"
30,30,1910,"208,526","419,524","628,050"
31,31,1911,"241,392","441,807","683,199"
32,32,1912,"451,455","586,697","1,038,152"
33,33,1913,"536,242","654,885","1,191,127"
34,34,1914,"683,318","796,598","1,479,916"
35,35,1915,"880,948","1,023,881","1,904,829"
36,36,1916,"923,264","1,085,704","2,008,968"
37,37,1917,"959,332","1,123,690","2,083,022"
38,38,1918,"1,048,705","1,202,364","2,251,069"
39,39,1919,"1,015,350","1,174,652","2,190,002"
40,40,1920,"1,100,888","1,244,037","2,344,925"
41,41,1921,"1,137,937","1,279,660","2,417,597"
42,42,1922,"1,125,314","1,247,500","2,372,814"
43,43,1923,"1,132,332","1,252,425","2,384,757"
44,44,1924,"1,169,036","1,295,689","2,464,725"
45,45,1925,"1,151,459","1,263,027","2,414,486"
46,46,1926,"1,145,447","1,230,067","2,375,514"
47,47,1927,"1,161,690","1,236,317","2,398,007"
48,48,1928,"1,141,070","1,195,356","2,336,426"
49,49,1929,"1,107,325","1,157,432","2,264,757"
50,50,1930,"1,129,310","1,166,295","2,295,605"
51,51,1931,"1,069,263","1,103,512","2,172,775"
52,52,1932,"1,074,098","1,106,142","2,180,240"
53,53,1933,"1,019,806","1,045,823","2,065,629"
54,54,1934,"1,061,617","1,082,153","2,143,770"
55,55,1935,"1,069,222","1,086,646","2,155,868"
56,56,1936,"1,064,070","1,077,378","2,141,448"
57,57,1937,"1,093,337","1,101,717","2,195,054"
58,58,1938,"1,136,186","1,141,298","2,277,484"
59,59,1939,"1,133,021","1,133,961","2,266,982"
60,60,1940,"1,185,937","1,181,180","2,367,117"
61,61,1941,"1,254,527","1,245,784","2,500,311"
62,62,1942,"1,407,983","1,390,336","2,798,319"
63,63,1943,"1,454,190","1,435,200","2,889,390"
64,64,1944,"1,388,854","1,366,399","2,755,253"
65,65,1945,"1,371,277","1,346,065","2,717,342"
66,66,1946,"1,650,055","1,612,797","3,262,852"
67,67,1947,"1,857,280","1,817,768","3,675,048"
68,68,1948,"1,782,603","1,742,595","3,525,198"
69,69,1949,"1,801,886","1,755,489","3,557,375"
70,70,1950,"1,819,204","1,758,654","3,577,858"
71,71,1951,"1,909,951","1,846,411","3,756,362"
72,72,1952,"1,973,924","1,902,390","3,876,314"
73,73,1953,"1,999,744","1,928,519","3,928,263"
74,74,1954,"2,067,731","1,990,684","4,058,415"
75,75,1955,"2,088,519","2,004,327","4,092,846"
76,76,1956,"2,144,599","2,059,322","4,203,921"
77,77,1957,"2,187,562","2,097,447","4,285,009"
78,78,1958,"2,153,055","2,064,945","4,218,000"
79,79,1959,"2,166,401","2,078,458","4,244,859"
80,80,1960,"2,166,051","2,079,890","4,245,941"
81,81,1961,"2,155,792","2,076,097","4,231,889"
82,82,1962,"2,102,331","2,026,950","4,129,281"
83,83,1963,"2,065,422","1,987,851","4,053,273"
84,84,1964,"2,027,525","1,957,088","3,984,613"
85,85,1965,"1,895,641","1,827,275","3,722,916"
86,86,1966,"1,818,122","1,755,492","3,573,614"
87,87,1967,"1,780,016","1,716,573","3,496,589"
88,88,1968,"1,776,351","1,709,406","3,485,757"
89,89,1969,"1,830,469","1,762,654","3,593,123"
90,90,1970,"1,905,936","1,831,855","3,737,791"
91,91,1971,"1,818,527","1,752,253","3,570,780"
92,92,1972,"1,674,828","1,612,465","3,287,293"
93,93,1973,"1,614,289","1,553,987","3,168,276"
94,94,1974,"1,630,824","1,566,101","3,196,925"
95,95,1975,"1,623,099","1,560,636","3,183,735"
96,96,1976,"1,633,238","1,571,829","3,205,067"
97,97,1977,"1,709,746","1,644,785","3,354,531"
98,98,1978,"1,708,835","1,643,634","3,352,469"
99,99,1979,"1,791,531","1,722,968","3,514,499"
100,100,1980,"1,854,471","1,780,088","3,634,559"
101,101,1981,"1,861,885","1,787,868","3,649,753"
102,102,1982,"1,886,438","1,813,555","3,699,993"
103,103,1983,"1,862,569","1,788,979","3,651,548"
104,104,1984,"1,875,548","1,802,422","3,677,970"
105,105,1985,"1,923,143","1,845,465","3,768,608"
106,106,1986,"1,920,287","1,844,596","3,764,883"
107,107,1987,"1,948,912","1,873,480","3,822,392"
108,108,1988,"2,000,688","1,922,098","3,922,786"
109,109,1989,"2,095,117","1,991,706","4,086,823"
110,110,1990,"2,150,729","2,053,591","4,204,320"
111,111,1991,"2,118,913","2,032,918","4,151,831"
112,112,1992,"2,098,320","2,004,098","4,102,418"
113,113,1993,"2,064,714","1,970,884","4,035,598"
114,114,1994,"2,037,618","1,948,755","3,986,373"
115,115,1995,"2,010,619","1,920,947","3,931,566"
116,116,1996,"2,002,931","1,916,548","3,919,479"
117,117,1997,"1,996,839","1,908,400","3,905,239"
118,118,1998,"2,026,625","1,937,540","3,964,165"
119,119,1999,"2,037,740","1,945,669","3,983,409"
120,120,2000,"2,086,814","1,994,317","4,081,131"
121,121,2001,"2,066,840","1,979,408","4,046,248"
122,122,2002,"2,065,032","1,973,374","4,038,406"
123,123,2003,"2,099,439","2,004,775","4,104,214"
124,124,2004,"2,111,466","2,015,813","4,127,279"
125,125,2005,"2,125,100","2,027,235","4,152,335"
126,126,2006,"2,189,783","2,087,917","4,277,700"
127,127,2007,"2,212,144","2,113,528","4,325,672"
128,128,2008,"2,176,932","2,079,498","4,256,430"
129,129,2009,"2,117,127","2,021,228","4,138,355"
130,130,2010,"2,049,975","1,956,103","4,006,078"
131,131,2011,"2,025,810","1,932,372","3,958,182"
132,132,2012,"2,022,025","1,932,633","3,954,658"
133,133,2013,"2,010,997","1,918,570","3,929,567"
134,134,2014,"2,029,795","1,938,534","3,968,329"
